Relatorio de Gastos
	
Categoria	Data	Valor	Quantidade
Celular	1-1-2021	118,98	
	1-2-2021	115,43	
	1-3-2021	117,83	
	1-4-2021	118,43	
	1-5-2021	120,68	
	1-6-2021	116,30	
	1-7-2021	119,02	
	1-8-2021	111,93	
TV a Cabo	20-1-2021	244,10	
	20-2-2021	258,05	
	20-3-2021	256,02	
	20-4-2021	253,99	
	20-5-2021	248,25	
	20-6-2021	233,15	
	20-7-2021	241,04	
	20-8-2021	235,53	
Internet	25-1-2021	204,40	
	25-2-2021	200,88	
	25-3-2021	226,71	
	25-4-2021	209,11	
	25-5-2021	200,57	
	25-6-2021	224,15	
	25-7-2021	230,91	
	25-8-2021	234,18	
Eletricidade	5-1-2021	116,39	
	5-2-2021	125,23	
	5-3-2021	150,76	
	5-4-2021	181,33	
	5-5-2021	185,26	
	5-6-2021	198,83	
	5-7-2021	112,83	
	5-8-2021	148,24	
água	10-1-2021	97,87	
	10-2-2021	102,25	
	10-3-2021	88,05	
	10-4-2021	90,76	
	10-5-2021	88,19	
	10-6-2021	108,94	
	10-7-2021	114,23	
	10-8-2021	verificar	
Gás	5-1-2021	97,00	
	10-3-2021	97,00	
	15-5-2021	97,00	
	16-8-2021	97,00	
Combustível	31-1-2021	265	
	28-2-2021	326	
	31-3-2021	217,07	
	30-4-2021	273,17	
	31-5-2021	261,15	
	30-6-2021	219,46	
	31-7-2021	verificar	
	31-8-2021	316,14	
Supermecado	31-1-2021	948,06	
	28-2-2021	922,31	
	31-3-2021	890,75	
	30-4-2021	865,70	
	31-5-2021	853,02	
	30-6-2021	885,27	
	31-7-2021	954,53	
	31-8-2021	883,33	


